TF,Setup,RR,Feature,Bucket,Trades,WinRate,Thr_Lo,Thr_Hi
2h,PFR,1.0,slope_strength,Low25,36,0.5833333333333334,,44.98749999999927
2h,PFR,1.0,slope_strength,High25,36,0.5555555555555556,187.0625,
2h,PFR,1.0,bars_since_new_high,Low25,54,0.5185185185185185,,2.0
2h,PFR,1.0,bars_since_new_high,High25,36,0.5555555555555556,11.0,
2h,PFR,1.0,pullback_from_new_high_pct,Low25,36,0.5833333333333334,,0.4802728544098127
2h,PFR,1.0,pullback_from_new_high_pct,High25,36,0.5555555555555556,1.5412074680567898,
2h,PFR,1.0,dist_to_sma80_pct,Low25,36,0.5277777777777778,,1.2821600391632877
2h,PFR,1.0,dist_to_sma80_pct,High25,36,0.5555555555555556,4.554738433554354,
2h,PFR,1.0,atr_pct,Low25,36,0.5833333333333334,,0.673947220234081
2h,PFR,1.0,atr_pct,High25,36,0.6111111111111112,1.0966035310280502,
2h,PFR,1.0,clv,Low25,36,0.4166666666666667,,0.7134285280267385
2h,PFR,1.0,clv,High25,36,0.5555555555555556,0.908038976857478,
2h,PFR,1.0,lower_wick_pct,Low25,36,0.5277777777777778,,26.179736294240115
2h,PFR,1.0,lower_wick_pct,High25,36,0.6388888888888888,62.965340179718424,
2h,PFR,1.0,pos_in_range_n,Low25,36,0.4166666666666667,,0.6922929263844901
2h,PFR,1.0,pos_in_range_n,High25,36,0.4444444444444444,0.8756089129136674,
2h,PFR,1.0,ret_5_pct,Low25,36,0.5,,0.1508468740264668
2h,PFR,1.0,ret_5_pct,High25,36,0.6666666666666666,1.2026270845784115,
2h,PFR,1.0,vol_z,Low25,36,0.4722222222222222,,-0.6291208016685599
2h,PFR,1.0,vol_z,High25,36,0.6666666666666666,1.0909003104015562,
4h,8.2,1.0,ALL,ALL,70,0.37142857142857144,,
4h,8.2,1.0,slope_strength,Low25,18,0.4444444444444444,,92.76250000000255
4h,8.2,1.0,slope_strength,High25,18,0.5,339.4687499999891,
4h,8.2,1.0,bars_since_new_high,Low25,28,0.39285714285714285,,1.0
4h,8.2,1.0,bars_since_new_high,High25,18,0.4444444444444444,3.75,
4h,8.2,1.0,pullback_from_new_high_pct,Low25,18,0.4444444444444444,,1.4635712817097857
4h,8.2,1.0,pullback_from_new_high_pct,High25,18,0.3333333333333333,2.656453233683533,
4h,8.2,1.0,dist_to_sma80_pct,Low25,18,0.6111111111111112,,2.111571553099233
4h,8.2,1.0,dist_to_sma80_pct,High25,18,0.4444444444444444,6.03581537883925,
4h,8.2,1.0,atr_pct,Low25,18,0.3888888888888889,,1.0122362201024888
4h,8.2,1.0,atr_pct,High25,18,0.5,1.6632138736277595,
4h,8.2,1.0,clv,Low25,18,0.3333333333333333,,0.17978092227708528
4h,8.2,1.0,clv,High25,18,0.3333333333333333,0.3668893058674342,
4h,8.2,1.0,lower_wick_pct,Low25,18,0.3333333333333333,,17.97809222770853
4h,8.2,1.0,lower_wick_pct,High25,18,0.3333333333333333,36.68893058674342,
4h,8.2,1.0,pos_in_range_n,Low25,18,0.2777777777777778,,0.6363546943806019
4h,8.2,1.0,pos_in_range_n,High25,18,0.5555555555555556,0.8041282818232107,
4h,8.2,1.0,ret_5_pct,Low25,18,0.3333333333333333,,0.27409225837444207
4h,8.2,1.0,ret_5_pct,High25,18,0.5,1.768839630641178,
4h,8.2,1.0,vol_z,Low25,18,0.3888888888888889,,-0.8565009169882392
4h,8.2,1.0,vol_z,High25,18,0.4444444444444444,0.5891534485893128,
4h,8.3,1.0,ALL,ALL,158,0.35443037974683544,,
4h,8.3,1.0,slope_strength,Low25,40,0.225,,85.84999999999764
4h,8.3,1.0,slope_strength,High25,40,0.325,307.518749999992,
4h,8.3,1.0,bars_since_new_high,Low25,44,0.4772727272727273,,1.0
4h,8.3,1.0,bars_since_new_high,High25,42,0.3333333333333333,4.0,
4h,8.3,1.0,pullback_from_new_high_pct,Low25,40,0.275,,0.8297097934705714
4h,8.3,1.0,pullback_from_new_high_pct,High25,40,0.3,1.787810820456977,
4h,8.3,1.0,dist_to_sma80_pct,Low25,40,0.425,,2.347869113763567
4h,8.3,1.0,dist_to_sma80_pct,High25,40,0.375,7.118233835606042,
4h,8.3,1.0,atr_pct,Low25,40,0.3,,1.0509867223180152
4h,8.3,1.0,atr_pct,High25,40,0.425,1.554766051928311,
4h,8.3,1.0,clv,Low25,40,0.225,,0.32255005502262635
4h,8.3,1.0,clv,High25,40,0.425,0.7386833602983808,
4h,8.3,1.0,lower_wick_pct,Low25,40,0.225,,19.848476401818417
4h,8.3,1.0,lower_wick_pct,High25,40,0.425,56.312414587979816,
4h,8.3,1.0,pos_in_range_n,Low25,40,0.35,,0.7250116103899327
4h,8.3,1.0,pos_in_range_n,High25,40,0.375,0.8696623086276782,
4h,8.3,1.0,ret_5_pct,Low25,40,0.4,,0.5210597048846743
4h,8.3,1.0,ret_5_pct,High25,40,0.325,2.1183214728346336,
4h,8.3,1.0,vol_z,Low25,40,0.325,,-0.9561908253974393
4h,8.3,1.0,vol_z,High25,40,0.4,-0.20540957449075672,
4h,DL,1.0,ALL,ALL,53,0.33962264150943394,,
4h,DL,1.0,slope_strength,Low25,14,0.21428571428571427,,101.60000000000582
4h,DL,1.0,slope_strength,High25,14,0.42857142857142855,335.3625000000102,
4h,DL,1.0,bars_since_new_high,Low25,29,0.3448275862068966,,2.0
4h,DL,1.0,bars_since_new_high,High25,19,0.3684210526315789,4.0,
4h,DL,1.0,pullback_from_new_high_pct,Low25,14,0.5,,1.1290664887972564
4h,DL,1.0,pullback_from_new_high_pct,High25,14,0.2857142857142857,2.1198639099712118,
4h,DL,1.0,dist_to_sma80_pct,Low25,14,0.5,,2.354154552243599
4h,DL,1.0,dist_to_sma80_pct,High25,14,0.35714285714285715,6.73413255082819,
4h,DL,1.0,atr_pct,Low25,14,0.42857142857142855,,0.9336171686531163
4h,DL,1.0,atr_pct,High25,14,0.2857142857142857,1.5115622678880913,
4h,DL,1.0,clv,Low25,14,0.21428571428571427,,0.31633153506620665
4h,DL,1.0,clv,High25,14,0.5,0.5529393173198492,
