ts,open,high,low,close,volume
2023-08-20 04:00:00+00:00,1667.1,1669.46,1660.62,1664.99,3376952.0
2023-08-20 08:00:00+00:00,1664.99,1674.97,1662.56,1674.01,7881465.0
2023-08-20 12:00:00+00:00,1674.01,1679.46,1663.13,1670.46,6397315.0
2023-08-20 16:00:00+00:00,1670.46,1679.16,1664.71,1677.41,5787461.0
2023-08-20 20:00:00+00:00,1677.41,1694.14,1677.38,1684.16,9010384.0
2023-08-21 00:00:00+00:00,1684.16,1685.12,1674.28,1676.13,7902508.0
2023-08-21 04:00:00+00:00,1676.13,1687.72,1668.54,1670.96,6835620.0
2023-08-21 08:00:00+00:00,1670.96,1674.52,1658.4,1672.2,4704344.0
2023-08-21 12:00:00+00:00,1672.2,1683.52,1647.5,1656.59,11048879.0
2023-08-21 16:00:00+00:00,1656.59,1674.66,1656.07,1671.55,8697719.0
2023-08-21 20:00:00+00:00,1671.55,1676.09,1665.5,1666.8,5208181.0
2023-08-22 00:00:00+00:00,1666.8,1668.57,1660.5,1663.34,6156712.0
2023-08-22 04:00:00+00:00,1663.34,1666.19,1659.92,1665.57,4822104.0
2023-08-22 08:00:00+00:00,1665.57,1666.87,1659.08,1661.62,2632642.0
2023-08-22 12:00:00+00:00,1661.62,1666.66,1642.39,1649.22,8672855.0
2023-08-22 16:00:00+00:00,1649.22,1650.4,1617.08,1624.22,21843338.0
2023-08-22 20:00:00+00:00,1624.22,1639.28,1575.07,1634.32,21305035.0
2023-08-23 00:00:00+00:00,1634.32,1641.43,1628.61,1631.05,14519847.0
2023-08-23 04:00:00+00:00,1631.05,1658.12,1629.95,1644.53,28836043.0
2023-08-23 08:00:00+00:00,1644.53,1648.16,1638.85,1641.59,17624299.0
2023-08-23 12:00:00+00:00,1641.59,1659.53,1633.6,1656.54,12383238.0
2023-08-23 16:00:00+00:00,1656.54,1702.58,1654.84,1686.39,15952122.0
2023-08-23 20:00:00+00:00,1686.39,1692.35,1658.34,1678.79,8687623.0
2023-08-24 00:00:00+00:00,1678.79,1682.88,1671.86,1674.71,4439967.0
2023-08-24 04:00:00+00:00,1674.71,1678.33,1671.75,1673.64,3067037.0
2023-08-24 08:00:00+00:00,1673.64,1677.14,1665.25,1666.79,3965769.0
2023-08-24 12:00:00+00:00,1666.79,1668.93,1641.04,1642.8,14395313.0
2023-08-24 16:00:00+00:00,1642.8,1655.69,1632.92,1647.57,19441824.0
2023-08-24 20:00:00+00:00,1647.57,1664.62,1642.36,1660.23,7122465.0
2023-08-25 00:00:00+00:00,1660.23,1663.33,1642.97,1654.6,4228255.0
2023-08-25 04:00:00+00:00,1654.6,1655.14,1646.0,1650.54,3106748.0
2023-08-25 08:00:00+00:00,1650.54,1658.33,1650.24,1653.5,3268656.0
2023-08-25 12:00:00+00:00,1653.5,1676.53,1635.01,1645.41,11369717.0
2023-08-25 16:00:00+00:00,1645.41,1655.11,1634.57,1646.14,7193877.0
2023-08-25 20:00:00+00:00,1646.14,1654.4,1645.01,1653.24,2412470.0
2023-08-26 00:00:00+00:00,1653.24,1654.77,1650.68,1653.71,1453271.0
2023-08-26 04:00:00+00:00,1653.71,1653.98,1649.92,1652.12,1335733.0
2023-08-26 08:00:00+00:00,1652.12,1652.92,1645.47,1649.61,1769101.0
2023-08-26 12:00:00+00:00,1649.61,1652.28,1645.85,1650.59,1957701.0
2023-08-26 16:00:00+00:00,1650.59,1651.0,1643.09,1645.08,1043840.0
2023-08-26 20:00:00+00:00,1645.08,1649.52,1644.13,1646.28,938376.0
2023-08-27 00:00:00+00:00,1646.28,1649.75,1645.41,1646.45,1495789.0
2023-08-27 04:00:00+00:00,1646.45,1655.0,1646.45,1647.8,2301848.0
2023-08-27 08:00:00+00:00,1647.8,1651.89,1646.56,1648.5,1754059.0
2023-08-27 12:00:00+00:00,1648.5,1659.39,1647.93,1654.68,3433859.0
2023-08-27 16:00:00+00:00,1654.68,1659.32,1649.4,1655.04,3377554.0
2023-08-27 20:00:00+00:00,1655.04,1658.39,1650.25,1657.6,2713157.0
2023-08-28 00:00:00+00:00,1657.6,1657.6,1647.12,1649.09,2329317.0
2023-08-28 04:00:00+00:00,1649.09,1650.94,1635.0,1640.9,3798104.0
2023-08-28 08:00:00+00:00,1640.9,1642.86,1619.6,1639.53,4679728.0
2023-08-28 12:00:00+00:00,1639.53,1663.71,1639.01,1647.98,10402277.0
2023-08-28 16:00:00+00:00,1647.98,1654.2,1637.08,1645.9,6011193.0
2023-08-28 20:00:00+00:00,1645.9,1656.75,1643.26,1652.51,4617443.0
2023-08-29 00:00:00+00:00,1652.51,1661.9,1650.11,1651.6,4646120.0
2023-08-29 04:00:00+00:00,1651.6,1653.0,1644.36,1646.58,14246744.0
2023-08-29 08:00:00+00:00,1646.58,1647.24,1639.01,1641.2,3306262.0
2023-08-29 12:00:00+00:00,1641.2,1736.17,1639.37,1716.41,18807350.0
2023-08-29 16:00:00+00:00,1716.41,1747.14,1708.35,1734.42,16890636.0
2023-08-29 20:00:00+00:00,1734.42,1741.47,1720.87,1728.51,9954915.0
2023-08-30 00:00:00+00:00,1728.51,1730.37,1712.14,1717.91,8003954.0
2023-08-30 04:00:00+00:00,1717.91,1721.59,1715.4,1716.92,2535269.0
2023-08-30 08:00:00+00:00,1716.92,1719.99,1710.37,1715.16,4330402.0
2023-08-30 12:00:00+00:00,1715.16,1721.69,1693.0,1702.88,16690082.0
2023-08-30 16:00:00+00:00,1702.88,1704.55,1694.8,1700.77,6183326.0
2023-08-30 20:00:00+00:00,1700.77,1707.59,1700.34,1704.39,2521868.0
2023-08-31 00:00:00+00:00,1704.39,1704.39,1696.55,1698.53,3550845.0
2023-08-31 04:00:00+00:00,1698.53,1706.85,1698.35,1705.64,2988900.0
2023-08-31 08:00:00+00:00,1705.64,1728.21,1702.5,1712.87,4693670.0
2023-08-31 12:00:00+00:00,1712.87,1713.3,1675.45,1688.27,9116494.0
2023-08-31 16:00:00+00:00,1688.27,1688.27,1641.48,1656.47,17966937.0
2023-08-31 20:00:00+00:00,1656.47,1656.66,1628.7,1645.27,8433278.0
2023-09-01 00:00:00+00:00,1645.27,1653.88,1644.37,1651.36,2547990.0
2023-09-01 04:00:00+00:00,1651.36,1652.27,1642.33,1645.44,2701224.0
2023-09-01 08:00:00+00:00,1645.44,1647.83,1640.25,1646.26,3095824.0
2023-09-01 12:00:00+00:00,1646.26,1651.76,1621.1,1633.75,13195501.0
2023-09-01 16:00:00+00:00,1633.75,1636.96,1601.22,1618.55,10679068.0
2023-09-01 20:00:00+00:00,1618.55,1637.38,1615.43,1628.2,3427635.0
2023-09-02 00:00:00+00:00,1628.2,1633.69,1627.05,1631.5,2236996.0
2023-09-02 04:00:00+00:00,1631.5,1635.99,1629.25,1630.68,1632889.0
2023-09-02 08:00:00+00:00,1630.68,1636.44,1629.32,1633.87,1428037.0
2023-09-02 12:00:00+00:00,1633.87,1644.68,1632.54,1637.96,3368083.0
2023-09-02 16:00:00+00:00,1637.96,1640.18,1627.6,1632.81,4167065.0
2023-09-02 20:00:00+00:00,1632.81,1638.88,1631.98,1636.29,1039681.0
2023-09-03 00:00:00+00:00,1636.29,1636.84,1630.55,1635.44,1442710.0
2023-09-03 04:00:00+00:00,1635.44,1638.34,1632.9,1634.95,1376715.0
2023-09-03 08:00:00+00:00,1634.95,1635.22,1630.08,1633.49,955645.0
2023-09-03 12:00:00+00:00,1633.49,1640.43,1627.2,1632.18,3336357.0
2023-09-03 16:00:00+00:00,1632.18,1642.59,1623.93,1638.08,5457242.0
2023-09-03 20:00:00+00:00,1638.08,1647.73,1632.43,1635.03,2642610.0
2023-09-04 00:00:00+00:00,1635.03,1644.28,1631.15,1636.86,3753739.0
2023-09-04 04:00:00+00:00,1636.86,1639.59,1633.82,1638.06,1945175.0
2023-09-04 08:00:00+00:00,1638.06,1639.95,1630.25,1631.46,2245169.0
2023-09-04 12:00:00+00:00,1631.46,1634.19,1617.3,1625.32,6475027.0
2023-09-04 16:00:00+00:00,1625.32,1635.21,1624.62,1630.42,3521532.0
2023-09-04 20:00:00+00:00,1630.42,1632.04,1614.81,1630.1,5785644.0
2023-09-05 00:00:00+00:00,1630.1,1630.7,1608.66,1617.24,7717037.0
2023-09-05 04:00:00+00:00,1617.24,1627.27,1617.24,1624.32,3068583.0
2023-09-05 08:00:00+00:00,1624.32,1638.14,1620.0,1634.63,3987332.0
2023-09-05 12:00:00+00:00,1634.63,1647.89,1625.05,1636.03,10957389.0
2023-09-05 16:00:00+00:00,1636.03,1642.91,1631.32,1631.55,7038874.0
2023-09-05 20:00:00+00:00,1631.55,1633.76,1625.87,1633.64,4644106.0
2023-09-06 00:00:00+00:00,1633.64,1639.76,1630.88,1632.77,6500042.0
2023-09-06 04:00:00+00:00,1632.77,1633.07,1626.98,1628.41,7255956.0
2023-09-06 08:00:00+00:00,1628.41,1635.74,1628.13,1632.01,3050896.0
2023-09-06 12:00:00+00:00,1632.01,1634.65,1618.75,1622.5,9349332.0
