timeframe,setup,rr,bucket,trades,wins,losses,win_rate,win_rate_pct
4h,DL,1.0,low25,50,22,28,0.44,44%
4h,DL,1.0,top30,60,25,35,0.4166666666666667,"41,7%"
4h,DL,1.0,low30,60,25,35,0.4166666666666667,"41,7%"
4h,DL,1.5,ALL,199,69,128,0.350253807106599,35%
4h,DL,1.5,top10,20,7,12,0.3684210526315789,"36,8%"
4h,DL,1.5,low10,20,11,8,0.5789473684210527,"57,9%"
4h,DL,1.5,top15,30,10,19,0.3448275862068966,"34,5%"
4h,DL,1.5,low15,30,12,17,0.41379310344827586,"41,4%"
4h,DL,1.5,top20,40,13,26,0.3333333333333333,"33,3%"
4h,DL,1.5,low20,40,14,25,0.358974358974359,"35,9%"
4h,DL,1.5,top25,50,14,35,0.2857142857142857,"28,6%"
4h,DL,1.5,low25,50,18,31,0.3673469387755102,"36,7%"
4h,DL,1.5,top30,60,18,41,0.3050847457627119,"30,5%"
4h,DL,1.5,low30,60,20,39,0.3389830508474576,"33,9%"
4h,DL,2.0,ALL,199,57,140,0.2893401015228426,"28,9%"
4h,DL,2.0,top10,20,5,14,0.2631578947368421,"26,3%"
4h,DL,2.0,low10,20,7,12,0.3684210526315789,"36,8%"
4h,DL,2.0,top15,30,8,21,0.27586206896551724,"27,6%"
4h,DL,2.0,low15,30,8,21,0.27586206896551724,"27,6%"
4h,DL,2.0,top20,40,10,29,0.2564102564102564,"25,6%"
4h,DL,2.0,low20,40,10,29,0.2564102564102564,"25,6%"
4h,DL,2.0,top25,50,11,38,0.22448979591836735,"22,4%"
4h,DL,2.0,low25,50,13,36,0.2653061224489796,"26,5%"
4h,DL,2.0,top30,60,15,44,0.2542372881355932,"25,4%"
4h,DL,2.0,low30,60,14,45,0.23728813559322035,"23,7%"
4h,IB,1.0,ALL,105,41,64,0.3904761904761905,39%
4h,IB,1.0,top10,11,3,8,0.2727272727272727,"27,3%"
4h,IB,1.0,low10,11,3,8,0.2727272727272727,"27,3%"
4h,IB,1.0,top15,16,4,12,0.25,25%
4h,IB,1.0,low15,16,4,12,0.25,25%
4h,IB,1.0,top20,21,5,16,0.23809523809523808,"23,8%"
4h,IB,1.0,low20,21,5,16,0.23809523809523808,"23,8%"
4h,IB,1.0,top25,27,8,19,0.2962962962962963,"29,6%"
4h,IB,1.0,low25,27,8,19,0.2962962962962963,"29,6%"
4h,IB,1.0,top30,32,10,22,0.3125,"31,2%"
4h,IB,1.0,low30,32,12,20,0.375,"37,5%"
4h,IB,1.5,ALL,105,35,70,0.3333333333333333,"33,3%"
4h,IB,1.5,top10,11,2,9,0.18181818181818182,"18,2%"
4h,IB,1.5,low10,11,3,8,0.2727272727272727,"27,3%"
4h,IB,1.5,top15,16,3,13,0.1875,"18,8%"
4h,IB,1.5,low15,16,3,13,0.1875,"18,8%"
4h,IB,1.5,top20,21,4,17,0.19047619047619047,19%
4h,IB,1.5,low20,21,4,17,0.19047619047619047,19%
4h,IB,1.5,top25,27,6,21,0.2222222222222222,"22,2%"
4h,IB,1.5,low25,27,7,20,0.25925925925925924,"25,9%"
4h,IB,1.5,top30,32,8,24,0.25,25%
4h,IB,1.5,low30,32,10,22,0.3125,"31,2%"
4h,IB,2.0,ALL,105,32,73,0.3047619047619048,"30,5%"
4h,IB,2.0,top10,11,2,9,0.18181818181818182,"18,2%"
4h,IB,2.0,low10,11,3,8,0.2727272727272727,"27,3%"
4h,IB,2.0,top15,16,3,13,0.1875,"18,8%"
4h,IB,2.0,low15,16,3,13,0.1875,"18,8%"
4h,IB,2.0,top20,21,4,17,0.19047619047619047,19%
4h,IB,2.0,low20,21,4,17,0.19047619047619047,19%
4h,IB,2.0,top25,27,5,22,0.18518518518518517,"18,5%"
4h,IB,2.0,low25,27,7,20,0.25925925925925924,"25,9%"
4h,IB,2.0,top30,32,7,25,0.21875,"21,9%"
4h,IB,2.0,low30,32,10,22,0.3125,"31,2%"
4h,PFR,1.0,ALL,113,61,52,0.5398230088495575,54%
4h,PFR,1.0,top10,12,4,8,0.3333333333333333,"33,3%"
4h,PFR,1.0,low10,12,9,3,0.75,75%
4h,PFR,1.0,top15,17,7,10,0.4117647058823529,"41,2%"
4h,PFR,1.0,low15,17,13,4,0.7647058823529411,"76,5%"
4h,PFR,1.0,top20,23,8,15,0.34782608695652173,"34,8%"
4h,PFR,1.0,low20,23,14,9,0.6086956521739131,"60,9%"
4h,PFR,1.0,top25,29,11,18,0.3793103448275862,"37,9%"
4h,PFR,1.0,low25,29,17,12,0.5862068965517241,"58,6%"
4h,PFR,1.0,top30,34,12,22,0.35294117647058826,"35,3%"
4h,PFR,1.0,low30,34,19,15,0.5588235294117647,"55,9%"
4h,PFR,1.5,ALL,113,49,63,0.4375,"43,8%"
4h,PFR,1.5,top10,12,4,8,0.3333333333333333,"33,3%"
4h,PFR,1.5,low10,12,8,3,0.7272727272727273,"72,7%"
4h,PFR,1.5,top15,17,6,11,0.35294117647058826,"35,3%"
4h,PFR,1.5,low15,17,11,5,0.6875,"68,8%"
4h,PFR,1.5,top20,23,7,16,0.30434782608695654,"30,4%"
4h,PFR,1.5,low20,23,12,10,0.5454545454545454,"54,5%"
4h,PFR,1.5,top25,29,8,21,0.27586206896551724,"27,6%"
4h,PFR,1.5,low25,29,14,14,0.5,50%
4h,PFR,1.5,top30,34,9,25,0.2647058823529412,"26,5%"
4h,PFR,1.5,low30,34,16,17,0.48484848484848486,"48,5%"
4h,PFR,2.0,ALL,113,40,72,0.35714285714285715,"35,7%"
4h,PFR,2.0,top10,12,3,9,0.25,25%
4h,PFR,2.0,low10,12,4,7,0.36363636363636365,"36,4%"
4h,PFR,2.0,top15,17,5,12,0.29411764705882354,"29,4%"
4h,PFR,2.0,low15,17,7,9,0.4375,"43,8%"
4h,PFR,2.0,top20,23,6,17,0.2608695652173913,"26,1%"
4h,PFR,2.0,low20,23,8,14,0.36363636363636365,"36,4%"
4h,PFR,2.0,top25,29,6,23,0.20689655172413793,"20,7%"
4h,PFR,2.0,low25,29,9,19,0.32142857142857145,"32,1%"
4h,PFR,2.0,top30,34,7,27,0.20588235294117646,"20,6%"
4h,PFR,2.0,low30,34,11,22,0.3333333333333333,"33,3%"
