time,open,close,high,low,vol,amount,realOpen,realClose,realHigh,realLow
1768489200,96013.7,96735.9,96783.8,95405.1,58866732.0,564815777.6667,96013.8,96735.9,96783.8,95405.1
1768492800,96735.9,96694.1,96961.0,96227.9,33678855.0,325108561.61164,96735.9,96694.1,96961.0,96227.9
1768496400,96694.1,96586.7,97044.0,96367.9,24220518.0,234229481.98701,96694.1,96586.7,97044.0,96367.9
1768500000,96586.7,95806.9,96590.9,95702.0,33238304.0,319378266.4322,96584.4,95806.9,96590.9,95702.0
1768503600,95806.9,95469.3,95900.0,95127.8,34323141.0,327842559.57037,95807.0,95469.3,95900.0,95127.8
1768507200,95469.3,95205.4,95619.2,95096.0,20130963.0,191856833.90157,95469.2,95205.4,95619.2,95096.0
1768510800,95205.4,95545.4,95598.5,95155.4,11675754.0,111414356.69516,95213.5,95545.4,95598.5,95155.4
1768514400,95545.4,95536.0,95834.0,95447.7,13621744.0,130240254.89357,95545.3,95536.0,95834.0,95447.7
1768518000,95536.0,95567.3,95675.7,95362.4,8673190.0,82844473.81558,95534.6,95567.3,95675.7,95362.4
1768521600,95567.3,95580.1,95788.5,95527.8,7386923.0,70666097.76115,95567.4,95580.1,95788.5,95527.8
1768525200,95580.1,95623.8,95825.5,95381.3,8204905.0,78427944.20517,95580.1,95623.8,95825.5,95381.3
1768528800,95623.8,95469.5,95649.2,95349.1,8058197.0,76940811.19181,95623.7,95469.5,95649.2,95349.1
1768532400,95469.5,95319.7,95550.3,95282.0,7261329.0,69298242.92383,95469.5,95319.7,95550.3,95282.0
1768536000,95319.7,95236.3,95546.4,95116.2,12200924.0,116261536.28867,95319.7,95236.3,95546.4,95116.2
1768539600,95236.3,95615.8,95654.3,95211.0,12771936.0,121862264.95662,95236.2,95615.8,95654.3,95211.0
1768543200,95615.8,95702.4,95790.0,95488.6,9222024.0,88205162.15312,95615.7,95702.4,95790.0,95488.6
1768546800,95702.4,95608.3,95750.0,95432.6,10161102.0,97106809.39432,95702.5,95608.3,95750.0,95432.6
1768550400,95608.3,95628.8,95806.0,95534.6,12496971.0,119559637.13892,95608.4,95628.8,95806.0,95534.6
1768554000,95628.8,95568.1,95741.0,95542.4,8843452.0,84562792.59355,95628.9,95568.1,95741.0,95542.4
1768557600,95568.1,95272.8,95587.2,95253.5,11496007.0,109665191.34917,95562.3,95272.8,95587.2,95253.5
1768561200,95272.8,95384.1,95436.0,95210.3,11163749.0,106407944.40121,95272.8,95384.1,95436.0,95210.3
1768564800,95384.1,95414.6,95536.1,95315.5,11271850.0,107564417.00068,95384.0,95414.6,95536.1,95315.5
1768568400,95414.6,95400.1,95531.5,95237.2,12671616.0,120893640.5494,95414.7,95400.1,95531.5,95237.2
1768572000,95400.1,95136.9,95763.0,95128.7,29506965.0,281451922.81857,95400.2,95136.9,95763.0,95128.7
1768575600,95136.9,94537.6,95640.0,94237.4,77557360.0,735110283.50504,95136.9,94537.6,95640.0,94237.4
1768579200,94537.6,94826.5,94950.0,94455.7,28272528.0,267911778.2763,94548.1,94826.5,94950.0,94455.7
1768582800,94826.5,95041.7,95095.4,94506.2,18374162.0,174139925.43122,94826.6,95041.7,95095.4,94506.2
1768586400,95041.7,94966.6,95180.4,94931.0,14666917.0,139457480.18368,95041.6,94966.6,95180.4,94931.0
1768590000,94966.6,94960.9,95018.3,94791.0,12830724.0,121800005.56292,94966.7,94960.9,95018.3,94791.0
1768593600,94960.9,95501.5,95520.0,94630.0,21067317.0,200206954.65199,94961.0,95501.5,95520.0,94630.0
1768597200,95501.5,95469.6,95550.0,95300.1,13637964.0,130161340.8252,95507.7,95469.6,95550.0,95300.1
1768600800,95469.6,95473.6,95539.6,95202.4,10302821.0,98240466.18622,95469.5,95473.6,95539.6,95202.4
1768604400,95473.6,95503.7,95536.0,95381.1,7582019.0,72382613.22525,95473.5,95503.7,95536.0,95381.1
1768608000,95503.7,95416.8,95535.5,95385.0,8569059.0,81802846.69463,95503.7,95416.8,95535.5,95385.0
1768611600,95416.8,95347.1,95487.9,95330.7,7692076.0,73375118.21284,95416.9,95347.1,95487.9,95330.7
